Satz,recognized,natural,sex,age,emotion
03a05Aa,85,55,m,31,fear
03a05Ea,75,30,m,31,disgust
03a05Fc,100,80,m,31,happiness
03a05La,65,30,m,31,boredom
03a05Nd,100,90,m,31,neutral
03a05Ta,45,20,m,31,sadness
03a05Tc,85,50,m,31,sadness
03a05Wa,100,85,m,31,anger
03a05Wb,100,90,m,31,anger
08a05Aa,95,50,f,34,fear
08a05Ea,70,35,f,34,disgust
08a05Fe,100,90,f,34,happiness
08a05Lc,95,80,f,34,boredom
08a05Nb,100,95,f,34,neutral
08a05Ta,95,70,f,34,sadness
08a05Wa,100,80,f,34,anger
09a05Aa,95,55,f,21,fear
09a05Ed,100,80,f,21,disgust
09a05Fa,45,5,f,21,happiness
09a05Lc,85,65,f,21,boredom
09a05Nb,100,100,f,21,neutral
09a05Tb,85,55,f,21,sadness
09a05Wb,100,95,f,21,anger
09a05Wc,95,90,f,21,anger
10a05Aa,90,55,m,32,fear
10a05Eb,85,40,m,32,disgust
10a05Fa,70,45,m,32,happiness
10a05Ld,100,80,m,32,boredom
10a05Na,90,45,m,32,neutral
10a05Tb,80,45,m,32,sadness
10a05Wb,100,70,m,32,anger
11a05Ad,100,75,m,26,fear
11a05Ea,75,30,m,26,disgust
11a05Fb,95,70,m,26,happiness
11a05Fc,100,65,m,26,happiness
11a05Lc,85,75,m,26,boredom
11a05Na,85,80,m,26,neutral
11a05Td,90,60,m,26,sadness
11a05Wd,100,100,m,26,anger
12a05Ab,95,55,m,30,fear
12a05Ec,75,25,m,30,disgust
12a05Fc,25,15,m,30,happiness
12a05Lb,100,85,m,30,boredom
12a05Nd,90,75,m,30,neutral
12a05Ta,90,55,m,30,sadness
12a05Wb,95,85,m,30,anger
13a05Aa,100,80,f,32,fear
13a05Ac,75,35,f,32,fear
13a05Ea,85,65,f,32,disgust
13a05Fa,85,40,f,32,happiness
13a05Lc,90,90,f,32,boredom
13a05Nb,100,100,f,32,neutral
13a05Tc,85,70,f,32,sadness
13a05Wa,95,75,f,32,anger
13a05Wc,95,75,f,32,anger
14a05Aa,100,90,f,35,fear
14a05Ac,95,85,f,35,fear
14a05Ea,90,50,f,35,disgust
14a05Fa,100,80,f,35,happiness
14a05Fb,100,85,f,35,happiness
14a05Lb,95,85,f,35,boredom
14a05Na,95,75,f,35,neutral
14a05Ta,90,75,f,35,sadness
14a05Tc,85,60,f,35,sadness
14a05Wa,100,100,f,35,anger
14a05Wb,100,95,f,35,anger
15a05Ab,85,50,m,25,fear
15a05Eb,100,85,m,25,disgust
15a05Fb,85,60,m,25,happiness
15a05Lb,95,90,m,25,boredom
15a05Na,100,90,m,25,neutral
15a05Ta,85,40,m,25,sadness
15a05Tb,85,35,m,25,sadness
15a05Wa,100,95,m,25,anger
16a05Ab,95,80,f,31,fear
16a05Ea,90,60,f,31,disgust
16a05Fc,90,55,f,31,happiness
16a05La,100,100,f,31,boredom
16a05Na,55,50,f,31,neutral
16a05Tb,100,75,f,31,sadness
16a05Wb,100,90,f,31,anger
16a05Wc,100,90,f,31,anger
03a07Ad,65,45,m,31,fear
03a07Ea,85,45,m,31,disgust
03a07Fa,85,80,m,31,happiness
03a07Fb,95,70,m,31,happiness
03a07La,95,80,m,31,boredom
03a07Nc,100,100,m,31,neutral
03a07Tc,75,60,m,31,sadness
03a07Wc,85,60,m,31,anger
08a07Aa,90,45,f,34,fear
08a07Ed,65,5,f,34,disgust
08a07Fd,80,70,f,34,happiness
08a07La,90,75,f,34,boredom
08a07Na,100,80,f,34,neutral
08a07Ta,80,75,f,34,sadness
08a07Tb,95,95,f,34,sadness
08a07Wc,95,75,f,34,anger
09a07Aa,90,55,f,21,fear
09a07Eb,95,60,f,21,disgust
09a07Fd,70,20,f,21,happiness
09a07Lc,70,45,f,21,boredom
09a07Na,95,85,f,21,neutral
09a07Ta,85,60,f,21,sadness
09a07Wb,100,100,f,21,anger
09a07Wd,100,75,f,21,anger
10a07Aa,90,70,m,32,fear
10a07Ad,85,55,m,32,fear
10a07Eb,90,45,m,32,disgust
10a07Fb,75,35,m,32,happiness
10a07La,95,90,m,32,boredom
10a07Nb,60,30,m,32,neutral
10a07Ta,85,60,m,32,sadness
10a07Wb,95,90,m,32,anger
11a07Ac,80,65,m,26,fear
11a07Ec,80,40,m,26,disgust
11a07Fd,95,40,m,26,happiness
11a07Ld,90,80,m,26,boredom
11a07Nb,85,50,m,26,neutral
11a07Ta,80,70,m,26,sadness
11a07Wc,90,70,m,26,anger
12a07Ac,100,85,m,30,fear
12a07Ec,90,15,m,30,disgust
12a07Fd,65,50,m,30,happiness
12a07La,90,70,m,30,boredom
12a07Nb,80,55,m,30,neutral
12a07Tc,30,10,m,30,sadness
12a07Wa,80,60,m,30,anger
12a07Wc,75,65,m,30,anger
13a07Aa,75,35,f,32,fear
13a07Ea,55,25,f,32,disgust
13a07Fd,90,65,f,32,happiness
13a07Lb,85,85,f,32,boredom
13a07Na,90,85,f,32,neutral
13a07Tc,80,65,f,32,sadness
13a07Wb,100,80,f,32,anger
14a07Aa,100,95,f,35,fear
14a07Eb,95,75,f,35,disgust
14a07Fd,95,65,f,35,happiness
14a07Lc,90,80,f,35,boredom
14a07Ld,85,70,f,35,boredom
14a07Na,95,75,f,35,neutral
14a07Tc,90,80,f,35,sadness
14a07Wc,95,95,f,35,anger
15a07Ac,90,75,m,25,fear
15a07Eb,95,75,m,25,disgust
15a07Fa,90,70,m,25,happiness
15a07Fb,100,80,m,25,happiness
15a07Ld,95,85,m,25,boredom
15a07Nc,100,95,m,25,neutral
15a07Tc,70,40,m,25,sadness
15a07Wb,65,45,m,25,anger
16a07Ac,75,50,f,31,fear
16a07Ea,95,85,f,31,disgust
16a07Fa,80,55,f,31,happiness
16a07Fb,100,85,f,31,happiness
16a07La,85,65,f,31,boredom
16a07Lb,100,95,f,31,boredom
16a07Nb,90,65,f,31,neutral
16a07Td,95,85,f,31,sadness
16a07Wa,90,75,f,31,anger
03b01Ad,75,35,m,31,fear
03b01Ed,85,40,m,31,disgust
03b01Fa,80,60,m,31,happiness
03b01Lb,85,65,m,31,boredom
03b01Nb,95,85,m,31,neutral
03b01Td,90,55,m,31,sadness
03b01Te,60,50,m,31,sadness
03b01Wa,100,100,m,31,anger
03b01Wc,95,95,m,31,anger
08b01Aa,95,75,f,34,fear
08b01Eb,85,40,f,34,disgust
08b01Fd,85,65,f,34,happiness
08b01Fe,95,65,f,34,happiness
08b01Lb,95,60,f,34,boredom
08b01Na,90,75,f,34,neutral
08b01Ta,85,50,f,34,sadness
08b01Wa,100,95,f,34,anger
09b01Aa,60,30,f,21,fear
09b01Ad,45,30,f,21,fear
09b01Ea,100,85,f,21,disgust
09b01Fd,65,20,f,21,happiness
09b01Lb,75,50,f,21,boredom
09b01Na,90,80,f,21,neutral
09b01Td,65,30,f,21,sadness
09b01Wb,95,90,f,21,anger
10b01Aa,90,70,m,32,fear
10b01Ea,90,70,m,32,disgust
10b01Fa,95,65,m,32,happiness
10b01Lb,90,85,m,32,boredom
10b01Na,45,20,m,32,neutral
10b01Nb,35,15,m,32,neutral
10b01Ta,70,35,m,32,sadness
10b01Tb,50,20,m,32,sadness
10b01Wb,100,55,m,32,anger
11b01Ab,95,75,m,26,fear
11b01Eb,85,50,m,26,disgust
11b01Fb,85,45,m,26,happiness
11b01Fc,100,75,m,26,happiness
11b01Lb,85,55,m,26,boredom
11b01Nc,95,90,m,26,neutral
11b01Td,55,30,m,26,sadness
11b01Wd,95,70,m,26,anger
12b01Ad,70,10,m,30,fear
12b01Ea,85,35,m,30,disgust
12b01Fd,95,45,m,30,happiness
12b01Lb,70,35,m,30,boredom
12b01Nb,90,55,m,30,neutral
12b01Ta,90,65,m,30,sadness
12b01Wa,95,75,m,30,anger
13b01Ab,100,95,f,32,fear
13b01Ec,95,70,f,32,disgust
13b01Fc,100,85,f,32,happiness
13b01Ld,95,80,f,32,boredom
13b01Nc,85,60,f,32,neutral
13b01Td,60,45,f,32,sadness
13b01Wa,100,95,f,32,anger
14b01Ac,100,85,f,35,fear
14b01Eb,100,70,f,35,disgust
14b01Fa,85,65,f,35,happiness
14b01Fc,100,75,f,35,happiness
14b01Lb,75,55,f,35,boredom
14b01Na,85,70,f,35,neutral
14b01Ta,75,60,f,35,sadness
14b01Wc,95,90,f,35,anger
15b01Aa,90,40,m,25,fear
15b01Ec,100,75,m,25,disgust
15b01Fa,65,35,m,25,happiness
15b01Lb,85,75,m,25,boredom
15b01Na,90,80,m,25,neutral
15b01Ta,85,45,m,25,sadness
15b01Wc,100,95,m,25,anger
16b01Aa,95,80,f,31,fear
16b01Eb,100,85,f,31,disgust
16b01Fa,80,70,f,31,happiness
16b01La,95,75,f,31,boredom
16b01Lc,95,75,f,31,boredom
16b01Nc,40,15,f,31,neutral
16b01Tb,100,80,f,31,sadness
16b01Wa,100,100,f,31,anger
16b01Wb,100,100,f,31,anger
03b02Aa,85,70,m,31,fear
03b02Ed,75,25,m,31,disgust
03b02Fc,70,55,m,31,happiness
03b02La,95,80,m,31,boredom
03b02Na,100,95,m,31,neutral
03b02Tb,80,55,m,31,sadness
03b02Tc,90,50,m,31,sadness
03b02Wb,95,80,m,31,anger
08b02Ac,85,35,f,34,fear
08b02Ed,55,20,f,34,disgust
08b02Ff,100,85,f,34,happiness
08b02La,95,90,f,34,boredom
08b02Nb,95,95,f,34,neutral
08b02Tc,90,65,f,34,sadness
08b02Wd,100,100,f,34,anger
09b02Ad,75,30,f,21,fear
09b02Ed,50,5,f,21,disgust
09b02Fb,85,45,f,21,happiness
09b02La,70,40,f,21,boredom
09b02Na,100,90,f,21,neutral
09b02Tb,80,50,f,21,sadness
09b02Wc,90,65,f,21,anger
09b02Wd,95,80,f,21,anger
10b02Aa,100,60,m,32,fear
10b02Ea,75,50,m,32,disgust
10b02Fa,60,15,m,32,happiness
10b02La,95,80,m,32,boredom
10b02Na,80,65,m,32,neutral
10b02Ta,65,40,m,32,sadness
10b02Tb,60,25,m,32,sadness
10b02Wb,95,75,m,32,anger
11b02Ab,85,75,m,26,fear
11b02Eb,65,25,m,26,disgust
11b02Fd,100,80,m,26,happiness
11b02Ld,45,30,m,26,boredom
11b02Na,90,90,m,26,neutral
11b02Td,85,65,m,26,sadness
11b02Wb,95,70,m,26,anger
11b02Wd,75,55,m,26,anger
12b02Ad,95,65,m,30,fear
12b02Ea,80,55,m,30,disgust
12b02Fb,85,65,m,30,happiness
12b02La,75,50,m,30,boredom
12b02Na,90,70,m,30,neutral
12b02Tb,55,20,m,30,sadness
12b02Wa,100,95,m,30,anger
12b02Wb,100,85,m,30,anger
12b02Wd,100,100,m,30,anger
13b02Aa,90,45,f,32,fear
13b02Ea,80,50,f,32,disgust
13b02Fb,100,85,f,32,happiness
13b02Lc,100,90,f,32,boredom
13b02Nb,95,85,f,32,neutral
13b02Tb,65,45,f,32,sadness
13b02Tc,65,35,f,32,sadness
13b02Wa,100,80,f,32,anger
14b02Aa,90,70,f,35,fear
14b02Eb,90,50,f,35,disgust
14b02Fb,95,85,f,35,happiness
14b02Lc,60,45,f,35,boredom
14b02Na,100,90,f,35,neutral
14b02Tc,95,80,f,35,sadness
14b02Wb,95,75,f,35,anger
14b02Wd,100,80,f,35,anger
15b02Aa,85,55,m,25,fear
15b02Eb,80,40,m,25,disgust
15b02Fb,75,40,m,25,happiness
15b02Lb,95,95,m,25,boredom
15b02Nd,100,100,m,25,neutral
15b02Tc,90,55,m,25,sadness
15b02Wa,95,75,m,25,anger
15b02Wc,95,75,m,25,anger
16b02Aa,100,85,f,31,fear
16b02Eb,85,75,f,31,disgust
16b02Fd,100,75,f,31,happiness
16b02Lb,95,80,f,31,boredom
16b02Nc,70,55,f,31,neutral
16b02Td,75,60,f,31,sadness
16b02Wb,95,85,f,31,anger
03b03Aa,61,19,m,31,fear
03b03Ab,76,23,m,31,fear
03b03Ed,57,19,m,31,disgust
03b03Fc,85,38,m,31,happiness
03b03La,61,42,m,31,boredom
03b03Nb,95,80,m,31,neutral
03b03Ta,76,57,m,31,sadness
03b03Tc,95,80,m,31,sadness
03b03Wc,95,85,m,31,anger
08b03Aa,95,57,f,34,fear
08b03Ab,90,47,f,34,fear
08b03Eb,71,42,f,34,disgust
08b03Fe,95,80,f,34,happiness
08b03Lc,95,61,f,34,boredom
08b03Nb,100,90,f,34,neutral
08b03Tc,100,76,f,34,sadness
08b03Wd,95,76,f,34,anger
09b03Aa,90,33,f,21,fear
09b03Ed,100,66,f,21,disgust
09b03Fa,90,61,f,21,happiness
09b03Fd,90,57,f,21,happiness
09b03Lb,90,80,f,21,boredom
09b03Nb,95,80,f,21,neutral
09b03Ta,80,66,f,21,sadness
09b03Wb,100,85,f,21,anger
10b03Aa,95,28,m,32,fear
10b03Ab,66,9,m,32,fear
10b03Ea,52,19,m,32,disgust
10b03Fd,90,57,m,32,happiness
10b03La,100,76,m,32,boredom
10b03Na,61,47,m,32,neutral
10b03Tb,85,61,m,32,sadness
10b03Wb,95,80,m,32,anger
10b03Wd,76,57,m,32,anger
11b03Ab,76,38,m,26,fear
11b03Eb,57,38,m,26,disgust
11b03Fc,100,80,m,26,happiness
11b03Lc,85,61,m,26,boredom
11b03Nb,95,76,m,26,neutral
11b03Td,90,66,m,26,sadness
11b03Wa,100,90,m,26,anger
11b03Wb,100,85,m,26,anger
12b03Ab,90,42,m,30,fear
12b03Ea,66,9,m,30,disgust
12b03Fd,38,14,m,30,happiness
12b03La,100,80,m,30,boredom
12b03Nc,66,42,m,30,neutral
12b03Ta,90,52,m,30,sadness
12b03Wd,85,42,m,30,anger
13b03Ac,95,76,f,32,fear
13b03Ed,85,66,f,32,disgust
13b03Fd,100,66,f,32,happiness
13b03Lb,100,90,f,32,boredom
13b03Na,90,90,f,32,neutral
13b03Td,95,90,f,32,sadness
13b03Wc,95,80,f,32,anger
14b03Ad,100,85,f,35,fear
14b03Ed,95,90,f,35,disgust
14b03Fb,76,52,f,35,happiness
14b03Lb,100,95,f,35,boredom
14b03Na,76,61,f,35,neutral
14b03Nb,61,47,f,35,neutral
14b03Ta,80,71,f,35,sadness
14b03Wb,100,90,f,35,anger
15b03Aa,90,61,m,25,fear
15b03Ab,57,23,m,25,fear
15b03Eb,90,52,m,25,disgust
15b03Fc,76,52,m,25,happiness
15b03La,76,76,m,25,boredom
15b03Lc,90,80,m,25,boredom
15b03Nb,95,80,m,25,neutral
15b03Tc,95,61,m,25,sadness
15b03Wa,100,76,m,25,anger
15b03Wb,100,85,m,25,anger
16b03Ad,90,66,f,31,fear
16b03Ea,95,76,f,31,disgust
16b03Fa,95,71,f,31,happiness
16b03Fd,100,85,f,31,happiness
16b03La,95,90,f,31,boredom
16b03Nb,95,80,f,31,neutral
16b03Ta,80,80,f,31,sadness
16b03Wb,100,80,f,31,anger
03b09Aa,55,25,m,31,fear
03b09Ec,20,5,m,31,disgust
03b09Fa,90,45,m,31,happiness
03b09La,85,65,m,31,boredom
03b09Nc,95,95,m,31,neutral
03b09Tc,90,85,m,31,sadness
03b09Wa,95,90,m,31,anger
08b09Ab,95,70,f,34,fear
08b09Ea,20,0,f,34,disgust
08b09Fd,95,65,f,34,happiness
08b09Lc,100,90,f,34,boredom
08b09Nb,100,85,f,34,neutral
08b09Tb,95,75,f,34,sadness
08b09Wa,95,90,f,34,anger
08b09Wc,100,85,f,34,anger
09b09Ab,60,25,f,21,fear
09b09Ad,80,30,f,21,fear
09b09Ea,90,60,f,21,disgust
09b09Fb,60,20,f,21,happiness
09b09Fd,55,25,f,21,happiness
09b09Lb,40,35,f,21,boredom
09b09Nd,85,75,f,21,neutral
09b09Tb,60,40,f,21,sadness
09b09Td,75,65,f,21,sadness
09b09Wa,95,75,f,21,anger
10b09Ad,95,60,m,32,fear
10b09Ae,80,45,m,32,fear
10b09Ea,85,30,m,32,disgust
10b09Fe,40,25,m,32,happiness
10b09Lb,100,75,m,32,boredom
10b09Nb,40,25,m,32,neutral
10b09Ta,90,55,m,32,sadness
10b09Wb,100,95,m,32,anger
11b09Ad,90,70,m,26,fear
11b09Ea,50,35,m,26,disgust
11b09Fd,95,80,m,26,happiness
11b09Ld,100,85,m,26,boredom
11b09Na,95,90,m,26,neutral
11b09Td,80,75,m,26,sadness
11b09Wa,90,85,m,26,anger
12b09Aa,70,40,m,30,fear
12b09Ac,85,55,m,30,fear
12b09Ea,80,35,m,30,disgust
12b09Fb,70,30,m,30,happiness
12b09Lb,70,55,m,30,boredom
12b09Lc,95,55,m,30,boredom
12b09Nc,50,35,m,30,neutral
12b09Td,90,55,m,30,sadness
12b09Wc,95,75,m,30,anger
13b09Ab,100,65,f,32,fear
13b09Ac,100,55,f,32,fear
13b09Ec,80,55,f,32,disgust
13b09Fb,100,75,f,32,happiness
13b09Fc,100,80,f,32,happiness
13b09La,80,80,f,32,boredom
13b09Na,90,85,f,32,neutral
13b09Ta,75,60,f,32,sadness
13b09Wa,95,80,f,32,anger
13b09Wc,60,55,f,32,anger
14b09Ac,100,95,f,35,fear
14b09Ea,95,75,f,35,disgust
14b09Fc,90,70,f,35,happiness
14b09Lb,95,80,f,35,boredom
14b09Nb,75,65,f,35,neutral
14b09Tb,95,80,f,35,sadness
14b09Td,95,95,f,35,sadness
14b09Wa,90,70,f,35,anger
14b09Wc,95,95,f,35,anger
15b09Ac,95,85,m,25,fear
15b09Eb,100,55,m,25,disgust
15b09Fa,85,60,m,25,happiness
15b09La,90,75,m,25,boredom
15b09Nb,95,85,m,25,neutral
15b09Ta,100,70,m,25,sadness
15b09Wb,100,80,m,25,anger
16b09Ab,80,45,f,31,fear
16b09Eb,95,80,f,31,disgust
16b09Fb,85,70,f,31,happiness
16b09La,90,60,f,31,boredom
16b09Lb,100,80,f,31,boredom
16b09Nb,70,60,f,31,neutral
16b09Tc,75,65,f,31,sadness
16b09Wb,100,90,f,31,anger
03b10Ab,95,60,m,31,fear
03b10Ea,60,30,m,31,disgust
03b10Ec,90,55,m,31,disgust
03b10Fa,50,30,m,31,happiness
03b10La,75,60,m,31,boredom
03b10Na,100,90,m,31,neutral
03b10Nc,80,80,m,31,neutral
03b10Td,70,45,m,31,sadness
03b10Wb,95,90,m,31,anger
03b10Wc,100,90,m,31,anger
08b10Aa,95,60,f,34,fear
08b10Eb,65,45,f,34,disgust
08b10Fd,100,80,f,34,happiness
08b10La,95,90,f,34,boredom
08b10Nc,90,75,f,34,neutral
08b10Tc,100,70,f,34,sadness
08b10Wa,100,75,f,34,anger
09b10Aa,85,65,f,21,fear
